Pays,Continent,Country,Code,Status
Allemagne,Europe,Germany,DEU,27
Australie,Océanie,Australia,AUS,8
Autriche,Europe,Austria,AUT,7
Belgique,Europe,Belgium,BEL,58
Bulgarie,Europe,Bulgaria,BGR,1
Canada,Amérique,Canada,CAN,1
Chili,Amérique,Chile,CHL,7
Chine,Asie,China,CHN,12
Colombie,Amérique,Colombia,COL,5
Côte d'Ivoire,Afrique,Cote d'Ivoire,CIV,1
Égypte,Afrique,Egypt,EGY,1
Espagne,Europe,Spain,ESP,3
États-Unis,Amérique,United States,USA,152
France,Europe,France,FRA,492
Géorgie,Asie,Georgia,GEO,4
Grèce,Europe,Greece,GRC,10
Inde,Asie,India,IND,2
Irlande,Europe,Ireland,IRL,5
Israël,Asie,Israel,ISR,2
Italie,Europe,Italy,ITA,22
Japon,Asie,Japan,JPN,31
Liban,Asie,Lebanon,LBN,2
Maroc,Afrique,Morocco,MAR,1
Norvège,Europe,Norway,NOR,1
Nouvelle-Zélande,Océanie,New Zealand,NZL,3
Pays-Bas,Europe,Netherlands,NLD,2
Pologne,Europe,Poland,POL,1
République Dominicaine,Amérique,Dominican Republic,DOM,1
Roumanie,Europe,Romania,ROU,1
Royaume-Uni,Europe,United Kingdom,GBR,221
Russie,Europe,Russia,RUS,68
Suède,Europe,Sweden,SWE,10
Suisse,Europe,Switzerland,CHE,37
Turquie,Asie,Turkey,TUR,1
Ukraine,Europe,Ukraine,UKR,8
